vessel_type,count
cargo,878471
tanker,581949
other,407691
tug,263247
wing-in-ground,69603
passenger,55300
law-enforcement,48575
,43014
pleasure-craft,35943
port-tender,34716
pilot,34170
dredging-underwater-ops,34081
high-speed-craft,27145
reserved-1,9397
search-and-rescue,8537
anti-pollution-equipment,8424
towing,1581
fishing,1108
unexpected-170,761
reserved-2,654
sailing,533
diving-ops,404
unexpected-158,307
medical-transport,279
reserved-10,174
reserved-38,49
military-ops,32
reserved-4,15
noncombatant-rr-18,15
reserved-39,14
reserved-9,11
reserved-16,6
unexpected-160,3
unexpected-103,3
unexpected-150,3
unexpected-239,2
unexpected-154,2
spare-local,2
unexpected-101,2
unexpected-248,2
unexpected-121,2
unexpected-172,2
unexpected-163,1
unexpected-191,1
unexpected-241,1
unexpected-106,1
unexpected-105,1
unexpected-123,1
unexpected-140,1
unexpected-207,1
unexpected-212,1
unexpected-242,1
unexpected-171,1
unexpected-168,1
unexpected-243,1
unexpected-208,1
unexpected-178,1
unexpected-225,1
unexpected-118,1
unexpected-235,1
unexpected-166,1
unexpected-102,1
unexpected-179,1
